epoch,split,accuracy,dog_pred_count,cat_pred_count,others_pred_count,dog_recall,cat_recall,others_recall,mean_dog_score_on_dog,mean_cat_score_on_dog,mean_others_score_on_dog,mean_dog_score_on_cat,mean_cat_score_on_cat,mean_others_score_on_cat,mean_dog_score_on_others,mean_cat_score_on_others,mean_others_score_on_others
32,probe,0.43333333333333335,11,9,10,0.5,0.3,0.5,-0.0516618583837176,-0.3752730099444403,-0.49553112077173295,-0.31104424307569145,-0.25009571573201217,-0.1744758394428195,-0.48115371222573355,-0.3953960327007476,-0.07330304661434137
33,mini_train,0.8222222222222222,36,23,31,1.0,0.6333333333333333,0.8333333333333334,0.40021242626429604,-0.5901755761587661,-0.664660047975336,-0.582268913713968,0.044703972296294504,-0.3871988915280769,-0.7379555055764999,-0.4977728553555908,0.34427490748973477
33,probe,0.43333333333333335,11,9,10,0.5,0.3,0.5,-0.054354255495005555,-0.3800803410080469,-0.4938849461089654,-0.30539012159049467,-0.25707810985452384,-0.17586253058251114,-0.48476285216826176,-0.39786940025369655,-0.06591987432124877
34,mini_train,0.8222222222222222,36,23,31,1.0,0.6333333333333333,0.8333333333333334,0.407523740786116,-0.595107690596472,-0.6691937092776673,-0.5852418107173735,0.050702720824043125,-0.3954331278033648,-0.7438779956356854,-0.5051760135459324,0.3575981934706499
34,probe,0.4666666666666667,12,8,10,0.6,0.3,0.5,-0.05744989671703028,-0.38477954695273625,-0.4920512677943513,-0.2981807509254307,-0.26442898120668,-0.17871561843802733,-0.4879985131818582,-0.40042957264433465,-0.059022593773490416
35,mini_train,0.8222222222222222,36,23,31,1.0,0.6333333333333333,0.8333333333333334,0.41553620788870743,-0.6001304714384873,-0.6742357293940402,-0.588124065663635,0.05727662152901866,-0.4040165644545709,-0.7491040745599782,-0.5123743062333729,0.36945158993372434
35,probe,0.43333333333333335,11,8,11,0.5,0.3,0.5,-0.061661198563095446,-0.38929268808415546,-0.4887354607327124,-0.2899619204386915,-0.2722569501688325,-0.18196604527299742,-0.4905374929957299,-0.40304995496484664,-0.053053312213811585
36,mini_train,0.8333333333333334,35,23,32,1.0,0.6333333333333333,0.8666666666666667,0.4236871562486362,-0.6049064894995909,-0.6796239931314261,-0.5918399560464767,0.06486325286436474,-0.4120893087687814,-0.7538761255386341,-0.5190540205506233,0.380071660601924
36,probe,0.4666666666666667,10,8,12,0.5,0.3,0.6,-0.06559120358051698,-0.3925715648828179,-0.4868201691342072,-0.28056323408912764,-0.27973563572746313,-0.186116773616481,-0.4924249763627578,-0.4059162731120588,-0.048059086768257
37,mini_train,0.8444444444444444,35,24,31,1.0,0.6666666666666666,0.8666666666666667,0.43058692519960906,-0.609200357987753,-0.6847451640225297,-0.5977686659289868,0.07449293346589478,-0.41908254241207377,-0.7594680923199058,-0.5246222299334352,0.39116290858297575
37,probe,0.5,9,8,13,0.5,0.3,0.7,-0.0694116839844355,-0.3940127696148947,-0.4887548161005082,-0.2725458842458194,-0.285754557496129,-0.18959021928563408,-0.4950330664794428,-0.40921017827331563,-0.042925855384468845
38,mini_train,0.8555555555555555,35,23,32,1.0,0.6666666666666666,0.9,0.4359303890133354,-0.6131905304063523,-0.6891337303841494,-0.6056501879759579,0.08651355843942454,-0.4251552894840154,-0.7662099356448417,-0.5290504194235308,0.4037698622295389
38,probe,0.5,9,8,13,0.5,0.3,0.7,-0.07681598490726842,-0.3952295418111609,-0.4906989850582235,-0.2700957356600425,-0.2906570076888902,-0.18779432736173268,-0.4993734441614466,-0.41285968380370563,-0.03676389185882949
39,mini_train,0.8666666666666667,34,24,32,1.0,0.7,0.9,0.44367272161098464,-0.6209174989112589,-0.6935256373696252,-0.6134082538235712,0.09575007639345637,-0.4315331815058646,-0.7720625247219662,-0.5354692791009165,0.4162935089134899
39,probe,0.5,10,7,13,0.5,0.3,0.7,-0.0888180530979379,-0.3985694971657441,-0.49292864118401464,-0.2659526232304534,-0.29963315004911245,-0.1846983772914024,-0.5019229081378628,-0.421010619378947,-0.031179157219892208
40,mini_train,0.8777777777777778,34,23,33,1.0,0.7,0.9333333333333333,0.46328643542622555,-0.6344390999877869,-0.6993909311250595,-0.6144822701158967,0.09965348197312185,-0.4405500454316087,-0.7706832234429603,-0.5463593988548934,0.42584034586420727
40,probe,0.43333333333333335,13,6,11,0.6,0.2,0.5,-0.08851898007058065,-0.406645980022169,-0.49912387990408835,-0.2458746840081322,-0.3172270115200021,-0.18738681336266227,-0.4909556119735744,-0.4366801695941208,-0.0287675285573994
41,mini_train,0.8777777777777778,34,23,33,1.0,0.7,0.9333333333333333,0.4761252555351478,-0.636989475265426,-0.7035745159282079,-0.6142508741579957,0.11207129742202217,-0.4472776394426836,-0.7712692112936438,-0.5481025080477432,0.4366811328027184
41,probe,0.43333333333333335,13,6,11,0.6,0.2,0.5,-0.0877098567804316,-0.40130263914357994,-0.5029038577672263,-0.23959002777849597,-0.31933899816795835,-0.18708044785320604,-0.4839050264670739,-0.4392590329190734,-0.02410479373775538
42,mini_train,0.8666666666666667,34,24,32,1.0,0.7,0.9,0.469177595483918,-0.6308247185932052,-0.7045371535956462,-0.6289190167840822,0.1335563413804181,-0.4478522348439046,-0.7809282548090867,-0.5480857811699352,0.4505495589926217
42,probe,0.5333333333333333,11,7,12,0.6,0.3,0.7,-0.10776665649307823,-0.3887297905774188,-0.49842533954223234,-0.25599036005726294,-0.3096384242166046,-0.18054014172585564,-0.4940703147773459,-0.4333647093775409,-0.015689981324989444
43,mini_train,0.8666666666666667,33,24,33,1.0,0.7,0.9,0.4686497814506188,-0.6279884212427203,-0.7078844307809011,-0.6373865020074035,0.14919079191613951,-0.45312102058269466,-0.7863612553456911,-0.5516954296234696,0.4600435733274311
43,probe,0.5333333333333333,11,7,12,0.6,0.3,0.7,-0.11698501119221563,-0.38118867315531924,-0.4998565701595437,-0.26445517756213255,-0.3045356875491302,-0.1792939006306729,-0.49931606712573534,-0.43085125757802645,-0.011278603052251234
44,mini_train,0.8666666666666667,33,24,33,1.0,0.7,0.9,0.47152999446873406,-0.627520755638927,-0.7116521337410194,-0.6433969854760487,0.1617861318456654,-0.45906093326254577,-0.7902757009093464,-0.5563736808105867,0.4684922138202602
44,probe,0.5333333333333333,11,7,12,0.6,0.3,0.7,-0.1230654427804175,-0.3768981664668515,-0.501516457172975,-0.2694676083726267,-0.30174103544158226,-0.17896979204940372,-0.5022907539252827,-0.42999436724242057,-0.007745054336259482
45,mini_train,0.8666666666666667,33,24,33,1.0,0.7,0.9,0.4760668205573181,-0.6282127460820343,-0.715639941166759,-0.6484513511021733,0.1734601977985749,-0.46537156690797427,-0.7939838754831788,-0.5600154910323057,0.476365430096249
45,probe,0.5333333333333333,11,7,12,0.6,0.3,0.7,-0.12819684188496108,-0.3733773425443468,-0.5031105140750152,-0.2735695363869717,-0.29923151089929806,-0.1789390136246732,-0.5048359451001476,-0.4288462501268858,-0.004790730754109918
46,mini_train,0.8666666666666667,33,24,33,1.0,0.7,0.9,0.4810571302688897,-0.6291198018411261,-0.7196432776793863,-0.6534145364499084,0.18566931964117855,-0.4719991349820661,-0.798023943092067,-0.5613028174861472,0.48388578094072127
46,probe,0.5333333333333333,11,7,12,0.6,0.3,0.7,-0.1327867968133412,-0.3689438134426987,-0.5046539872632617,-0.27824745212514373,-0.2954096138126291,-0.17893277757895706,-0.5077324936338483,-0.42576284608765996,-0.002265368465304285
47,mini_train,0.8888888888888888,32,26,32,1.0,0.7666666666666667,0.9,0.4857595510140822,-0.6296840042789581,-0.7234703801033331,-0.6590563125009568,0.199324104068836,-0.47874776407686426,-0.802438108746772,-0.5596175221000182,0.4911763291830507
47,probe,0.5333333333333333,11,7,12,0.6,0.3,0.7,-0.13690349749757463,-0.3630096759179322,-0.5058527515668603,-0.2842523733954503,-0.28938540513171557,-0.17869132764500514,-0.5110091919031371,-0.4197410562325342,-5.758947306258033e-05
48,mini_train,0.9,32,27,31,1.0,0.8,0.9,0.4902131821193382,-0.6297826807327134,-0.72709021074523,-0.6659618866820681,0.21514052031801906,-0.48538304769050755,-0.807097592869813,-0.5546080937020723,0.4982991455881951
48,probe,0.5333333333333333,11,7,12,0.6,0.3,0.7,-0.1403240369706021,-0.3557056189181456,-0.5065691608410473,-0.2917647055295257,-0.2808395168123489,-0.17810487764992763,-0.5142858054658966,-0.41050409924825415,0.001871576943254849
49,mini_train,0.9,32,27,31,1.0,0.8,0.9,0.49503680731607874,-0.6296911367920401,-0.7306031486648904,-0.6740128021650331,0.2335113187813232,-0.49181874684577404,-0.8117915011088244,-0.5463798943295449,0.505271164747607
49,probe,0.5333333333333333,11,7,12,0.6,0.3,0.7,-0.14206458382597426,-0.34767423099330025,-0.5072105632804179,-0.30059055227087894,-0.26987207817591186,-0.17724795602087723,-0.5168023369951353,-0.39887167108872384,0.003473408397849531
50,mini_train,0.9111111111111111,32,28,30,1.0,0.8333333333333334,0.9,0.5003490541256196,-0.6299839649577336,-0.7340248681097786,-0.6822608332228373,0.25384490124321396,-0.49790034150697987,-0.8166514748267183,-0.5357096886334468,0.5122053688616585
50,probe,0.5333333333333333,11,7,12,0.6,0.3,0.7,-0.14207620984881358,-0.339729687171463,-0.5079671796957862,-0.31095937281763064,-0.2569056994415818,-0.1759605301144867,-0.517960519058962,-0.3870276212346456,0.004702845880102646
